num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 283.203µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
 57 |     123 |     286 |     245 |     292 |     282 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 58 |     123 |     282 |     245 |     287 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 59 |     123 |     287 |     245 |     248 |     251 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 60 |     123 |     248 |     245 |     249 |     250 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 61 |     123 |     250 |     245 |     256 |     262 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 62 |     123 |     262 |     245 |     265 |     269 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 63 |     123 |     269 |     245 |     271 |     264 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 64 |     123 |     264 |     245 |     265 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 65 |     123 |     265 |     245 |     269 |     270 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 66 |     123 |     270 |     245 |     275 |     268 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 67 |     123 |     268 |     245 |     220 |     179 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 68 |     123 |     179 |     220 |     222 |      79 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 69 |     123 |      79 |     220 |      80 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 70 |     123 |      80 |     220 |     113 |     114 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 71 |     123 |     113 |     220 |     115 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 72 |     123 |     115 |     220 |     107 |     132 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 73 |     123 |     132 |     107 |     184 |      75 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 74 |     123 |      75 |     107 |      76 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 75 |     123 |      76 |     107 |     105 |     106 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 76 |     123 |     105 |     107 |     130 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 77 |     123 |     130 |     107 |     143 |     144 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 78 |     123 |     144 |     107 |     147 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 79 |     123 |     147 |     107 |     149 |     150 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 80 |     123 |     149 |     107 |     153 |     154 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 81 |     123 |     154 |     107 |     159 |     160 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 82 |     123 |     160 |     107 |     210 |     132 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 83 |     123 |     132 |     112 |     184 |      75 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 84 |     123 |      75 |     112 |      76 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 85 |     123 |      76 |     112 |     105 |     106 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 86 |     123 |     105 |     112 |     130 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 87 |     123 |     130 |     112 |     143 |     144 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 88 |     123 |     144 |     112 |     147 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 89 |     123 |     148 |     112 |     151 |     152 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 90 |     123 |     152 |     112 |     157 |     158 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 91 |     123 |     157 |     112 |     161 |     162 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 92 |     123 |     161 |     112 |     171 |     172 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 93 |     123 |     171 |     112 |     178 |     179 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 94 |     123 |     179 |     178 |     222 |      79 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
 95 |     123 |      79 |     178 |      80 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 96 |     123 |      80 |     178 |     113 |     114 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 97 |     123 |     113 |     178 |     115 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
 98 |     123 |     115 |     178 |     107 |     132 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
